date,ad_unit,adx_impressions,adx_revenue,avg_adx_cpm
2024/1/31,a_shoppies.ios_320x50_itempage_18306,3614,45,12
2024/1/31,a_shiftfree.ios_320x50_footer_5152,70,3,37
2024/1/31,a_shiftpro.ios_320x50_footer_4891,15,0,26
2024/1/31,a_shiftshare.ios_320x50_footer_21644,89,3,30
2024/1/31,a_shimai.ios_320x50_footer_22267,4,0,16
2024/1/31,a_shimai.ios_320x50_header_22267,2,0,15
2024/1/31,a_simplememocal.ios_320x50_under-ad_21063,9,0,55
2024/1/31,a_soudanshiyo.ios_320x50_footer_17492,11,1,81
2024/1/31,a_snowtown.ios_1024x768_Interstitial_21239,2,0,61
2024/1/31,a_snowtown.ios_320x50_header_21239,2,0,11
2024/1/31,a_snowtown.ios_336x280_middle1st_21239,1,0,20
2024/1/31,a_sportsgym.ios_320x50_header_18950,126,2,19
2024/1/31,a_starproject.messagebetamale.ios_320x50_footer-male_25643,1,0,22
2024/1/31,a_summerday.ios_320x50_footer_18947,16,1,44
2024/1/31,a_summerday.ios_320x50_header_18947,17,0,18
2024/1/31,a_summerday.ios_336x280_middle1st_18947,2,0,47
2024/1/31,a_sukinina.and_300x250_middle_23580,108,6,57
2024/1/31,a_sukinina.and_320x50_footer_23580,131,4,32
2024/1/31,a_svcmaruchi.ios_320x50_footer_15220,41,1,23
2024/1/31,a_svcmonpany.ios_320x50_footer_25735,50,0,8
2024/1/31,s_9db_320x100_overlay2_29246,11516,840,73
2024/1/31,s_9db_320x50_overlay1_29246,2035,137,67
2024/1/31,s_2ndtrain_300x250_fluct-sp-article-underphoto1_27216,882,101,114
2024/1/31,s_2ndtrain_300x250_fluct-sp-article-underphoto2_27216,346,19,56
2024/1/31,s_2ndtrain_320x100_fluct-sp-article-top_27216,817,19,23
2024/1/31,s_2ndtrain_320x100_fluct-sp-topicsphoto-top_27216,121,11,95
2024/1/31,s_39news_300x250_TOPP1st_29602,2202,59,27
2024/1/31,s_39news_300x250_TOPP2nd_29602,2006,48,24
2024/1/31,s_39news_300x250_footer_29602,2209,62,28
2024/1/31,s_39news_300x250_get_29602,6547,162,25
2024/1/31,s_39news_300x250_header_29602,2817,819,291
2024/1/31,s_39news_300x250_kijinaka1st_29602,7588,113,15
