date,ad_unit,adx_impressions,adx_revenue,avg_adx_cpm
2024/1/31,******************************************,21707,626,29
2024/1/31,******************************************,23028,3466,151
2024/1/31,************************************,3721,491,132
2024/1/31,************************************,2117,280,132
2024/1/31,************************************,478,66,138
2024/1/31,************************************,19820,3046,154
2024/1/31,************************************,13548,1938,143
2024/1/31,************************************,6006,853,142
2024/1/31,*************************************************,11867,1577,133
2024/1/31,******************************************,13737,2337,170
2024/1/31,**************************************,19857,1664,84
2024/1/31,**************************overlay******,17389,3710,213
2024/1/31,*****************************overlay******,11649,2680,230
2024/1/31,************************************************,24373,1433,59
2024/1/31,************************************************,8610,271,31
2024/1/31,************************************************,3995,39,10
2024/1/31,************************************************,8104,253,31
2024/1/31,************************************************,13181,245,19
2024/1/31,************************************************,8302,117,14
2024/1/31,************************************************,11304,760,67
2024/1/31,************************************************,6341,93,15
2024/1/31,***************************************************,1783,24,13
2024/1/31,***************************************************,1301,13,10
2024/1/31,*****************************************************,962,11,11
2024/1/31,**************************************************,8546,162,19
2024/1/31,*****************************************************,2270,174,77
2024/1/31,******************************************************,29205,1502,51
2024/1/31,****************************************************,8331,83,10
2024/1/31,*****************************overlay******************,27316,932,34
2024/1/31,***************************************************,19906,7117,358
2024/1/31,***************************************************,12959,3881,299
2024/1/31,***************************************************,13861,4996,360
2024/1/31,********************************,42554,1997,47
2024/1/31,********************************,39969,2073,52
2024/1/31,********************************,22126,1305,59
2024/1/31,****************************************,406,7,18
2024/1/31,*************************************,3095,32,10
2024/1/31,****************************************,1838,126,69
2024/1/31,****************************************,8355,200,24
2024/1/31,***************************************,3492,43,12
2024/1/31,**************************************,797,44,56
2024/1/31,**************************************,843,27,32
2024/1/31,**********************************,3733,44,12
2024/1/31,**********************************,3335,55,16
2024/1/31,**********************************,4793,244,51
2024/1/31,**********************************,1415,14,10
2024/1/31,**********************************,5471,195,36
2024/1/31,**********************************,1783,22,12
2024/1/31,**********************************,3696,109,30
2024/1/31,**********************************,3339,101,30
2024/1/31,**********************************,20203,545,27
2024/1/31,****************************************,522,12,23
2024/1/31,****************************************,426,8,18
2024/1/31,****************************,512,4,9
2024/1/31,*************************************,4784,42,9
2024/1/31,*************************************,4990,51,10
2024/1/31,****************************************,3275,251,77
2024/1/31,****************************************,2756,245,89
2024/1/31,****************************,3008,74,25
2024/1/31,********************************,15718,351,22
2024/1/31,********************************,7525,177,23
2024/1/31,*****************************************,13682,275,20
2024/1/31,*****************************************,16480,317,19
2024/1/31,***************************************,4436,44,10
2024/1/31,***************************************,4312,61,14
2024/1/31,**************************************,1062,60,56
2024/1/31,**************************************,1285,62,48
2024/1/31,**************************************,1009,49,48
2024/1/31,**************************************,1342,91,67
2024/1/31,***********************************,4859,57,12
2024/1/31,***********************************,4123,51,12
2024/1/31,***********************************,15518,340,22
2024/1/31,***********************************,17208,621,36
2024/1/31,***********************************,4585,47,10
2024/1/31,***********************************,4210,59,14
2024/1/31,***********************************,19476,378,19
2024/1/31,***********************************,23783,513,22
2024/1/31,***********************************,4986,58,12
2024/1/31,***********************************,3625,48,13
2024/1/31,***********************************,15196,302,20
2024/1/31,***********************************,14337,292,20
2024/1/31,***********************************,2670,26,10
2024/1/31,***********************************,1901,23,12
2024/1/31,***********************************,11889,241,20
2024/1/31,***********************************,11866,253,21
2024/1/31,***********************************,32180,1444,45
2024/1/31,***********************************,32920,1718,52
2024/1/31,************************overlay******************,71365,1885,26
2024/1/31,********************************,2259,119,53
2024/1/31,*********************************************,18478,2217,120
2024/1/31,*********************************************,11316,1151,102
2024/1/31,**************************************,823,117,142
2024/1/31,******************************,4453,206,46
2024/1/31,*******************************,2509,54,21
2024/1/31,*****************************,2972,89,30
2024/1/31,*****************overlay*********,42,1,30
2024/1/31,*******************************************,141,4,27
2024/1/31,*************************************overlay******,495,36,72
2024/1/31,******************************************,144,6,44
2024/1/31,************************overlay******,359,16,44
2024/1/31,*********************************,4969,140,28
2024/1/31,*********************************,85919,2437,28
2024/1/31,*********************************,186117,5732,31
2024/1/31,*********************************,155865,4610,30
2024/1/31,*******************************,55460,1567,28
2024/1/31,*******************************,29483,935,32
2024/1/31,*********************************,210920,6518,31
2024/1/31,*********************************,6379,170,27
2024/1/31,*****************************************,50,10,202
2024/1/31,********************overlay******,41,1,19
2024/1/31,************************************,251,57,226
2024/1/31,**********************************************,3051,203,67
2024/1/31,**********************************************,691,25,37
2024/1/31,*************************************,13,2,149
2024/1/31,************************************,14,0,26
2024/1/31,************************************************,442,49,111
2024/1/31,********************************************************,390,33,84
2024/1/31,*********************************************,202,19,93
2024/1/31,*************************************************,488,69,142
2024/1/31,*****************************************,3,0,56
2024/1/31,*******************************************,6,0,53
2024/1/31,****************************************************,5,0,59
2024/1/31,*********************************,260,32,122
2024/1/31,***************************************,383,44,114
2024/1/31,************************************************,247,21,83
2024/1/31,****************************************,5,0,30
2024/1/31,***************************************************,20094,1404,70
2024/1/31,*****************************************,15963,886,55
2024/1/31,***********************************,9737,416,43
2024/1/31,*********************************,14745,641,43
2024/1/31,***************************************,6,0,29
2024/1/31,*************************************,3,0,23
2024/1/31,************************************,7,0,33
2024/1/31,*****************************************,7,0,29
2024/1/31,**********************************,9733,299,31
2024/1/31,**********************************,17244,492,29
2024/1/31,**********************************,12211,404,33
2024/1/31,**********************************,6895,199,29
2024/1/31,**********************************,5531,128,23
2024/1/31,**********************************,4184,86,21
2024/1/31,***********************************,9209,264,29
2024/1/31,***************************************,8996,639,71
2024/1/31,****************************************,4,0,28
2024/1/31,*************************************,42,1,27
2024/1/31,************************************,139899,7366,53
2024/1/31,*****************************************,167001,9995,60
2024/1/31,*********************************************,38131,447,12
2024/1/31,*********************************************,108209,1909,18
2024/1/31,*********************************************,51611,892,17
2024/1/31,*********************************************,37872,323,9
2024/1/31,**************************************,3973,430,108
2024/1/31,**************************************,2199,225,102
2024/1/31,**************************************,1408,140,100
2024/1/31,**************************************,34691,2918,84
2024/1/31,**************************************,20827,1643,79
2024/1/31,**************************************,7265,813,112
2024/1/31,******************************************,3775,2506,664
2024/1/31,***************************************,110513,8559,77
2024/1/31,***************************************,236775,11654,49
2024/1/31,*****************overlay********************,12349,19857,1608
2024/1/31,*****************overlay*********overlay******,76328,7283,95
2024/1/31,************************************,148160,19084,129
2024/1/31,****************************************,426498,14221,33
2024/1/31,****************************************,348117,6556,19
2024/1/31,****************************************,286223,3579,13
2024/1/31,****************************************,96917,1837,19
2024/1/31,**************************************,296579,22046,74
2024/1/31,*********************************,12677,1859,147
2024/1/31,*********************************,208344,23673,114
2024/1/31,*********************************,57445,9358,163
2024/1/31,*********************************,5004,607,121
2024/1/31,*************************************,2844,1789,629
2024/1/31,********************************,154994,1065,7
2024/1/31,**********************************,321312,52905,165
2024/1/31,**********************************,545393,45836,84
2024/1/31,************overlay*********overlay******,467758,40099,86
2024/1/31,*****************************************,11974,108,9
2024/1/31,***********************overlay******,48496,9393,194
2024/1/31,************************************,264783,32187,122
2024/1/31,****************************************,100371,2384,24
2024/1/31,****************************************,299956,9674,32
2024/1/31,****************************************,182084,4057,22
2024/1/31,****************************************,124473,1641,13
2024/1/31,********************************,6335,239,38
2024/1/31,********************************,16095,9931,617
2024/1/31,**********************************,202866,31090,153
2024/1/31,**********************************,529169,69877,132
2024/1/31,***********overlay*********overlay******,320165,48360,151
2024/1/31,*****************overlay******,1164,401,344
2024/1/31,**********************************,370,114,307
2024/1/31,*****************************************,57,19,331
2024/1/31,*****************************************,58,18,305
2024/1/31,*******************overlay******,304,103,340
2024/1/31,*******************overlay******,18721,671,36
2024/1/31,************************************,2246,55,24
2024/1/31,************************************,19497,417,21
2024/1/31,************************************,23989,522,22
2024/1/31,************************************,35116,789,22
2024/1/31,**********************************,29965,732,24
2024/1/31,**********************************,18953,605,32
2024/1/31,************************************,42117,1068,25
2024/1/31,************************************,1311,26,20
2024/1/31,**************************************,930,107,115
2024/1/31,*****************overlay*********,12,0,17
2024/1/31,*************************************,227,35,154
2024/1/31,****************overlay*********,4,0,31
2024/1/31,*******************************,28364,2142,76
2024/1/31,**************************************,353,36,101
2024/1/31,*****************************************,10,0,5
2024/1/31,***********************************,53,1,10
2024/1/31,*****************************************,12,0,6
2024/1/31,***********************************,41,1,14
2024/1/31,*****************************,14061,636,45
2024/1/31,***************overlay******,26,1,55
2024/1/31,**************************************,43,10,236
2024/1/31,***********************************************,8295,731,88
2024/1/31,***********************************************,234,5,21
2024/1/31,***********************************************,262,7,25
2024/1/31,*************************************************,183,3,18
2024/1/31,*************************************************,13842,821,59
2024/1/31,*************************************,19,1,56
2024/1/31,************************************,34,2,59
2024/1/31,************************************************,540,18,34
2024/1/31,********************************************************,637,23,36
2024/1/31,*********************************************,618,18,30
2024/1/31,*************************************************,1329,29,21
2024/1/31,*****************************************,18,0,20
2024/1/31,*******************************************,24,0,19
2024/1/31,****************************************************,17,0,9
2024/1/31,*********************************,411,15,35
2024/1/31,***************************************,1363,34,25
2024/1/31,************************************************,611,16,27
2024/1/31,****************************************,25,1,24
2024/1/31,*********************************,7170,124,17
2024/1/31,*********************************,61924,1102,18
2024/1/31,*********************************,73431,1317,18
2024/1/31,*********************************,57791,948,16
2024/1/31,*******************************,83354,1452,17
2024/1/31,*******************************,69376,1676,24
2024/1/31,*********************************,84062,1867,22
2024/1/31,*********************************,10633,178,17
2024/1/31,****************************************,5311,1542,290
2024/1/31,*********************************************,10570,877,83
2024/1/31,*********************************************,5340,246,46
2024/1/31,*********************************************,2679,133,50
2024/1/31,********************************************,229,8,34
2024/1/31,********************************************,107,3,24
2024/1/31,********************************************,39,1,23
2024/1/31,*******************************************,756,13,17
2024/1/31,*******************************************,1719,65,38
2024/1/31,*******************************************,1071,25,23
2024/1/31,*******************************************,33,2,50
2024/1/31,*******************************************,312,14,45
2024/1/31,*******************************************,251,4,18
2024/1/31,*********************************************,6626,509,77
2024/1/31,*********************************************,6315,339,54
2024/1/31,*********************************************,4265,164,38
2024/1/31,******************************************,327,16,49
2024/1/31,******************************************,283,10,34
2024/1/31,******************************************,229,8,34
2024/1/31,*************************overlay******,15751,2128,135
2024/1/31,***********************************************,80,32,400
2024/1/31,**********************************************,189,5,27
2024/1/31,*********************************************,3205,108,34
2024/1/31,*********************************************,125,7,59
2024/1/31,*******************************************,188,4,23
2024/1/31,*****************************overlay******,3609,132,36
2024/1/31,**************************************,1316,774,588
2024/1/31,********************************************,103,4,40
2024/1/31,********************************************,72,1,20
2024/1/31,***************************************************,1674,142,85
2024/1/31,*************************************************************,168,7,43
2024/1/31,*************************************************************,1294,69,53
2024/1/31,*************************************************************,1082,50,46
2024/1/31,*************************************************************,1404,151,107
2024/1/31,*************************************************************,909,39,43
2024/1/31,****************************************************,2341,189,81
2024/1/31,****************************************************,2639,136,52
2024/1/31,********************overlay******,8239,551,67
2024/1/31,************************************************,3437,89,26
2024/1/31,************************************************,4357,273,63
2024/1/31,*****************************************************,2044,172,84
2024/1/31,****************************************************,4925,226,46
2024/1/31,************************************************,367526,7486,20
2024/1/31,**********************************,5208,144,28
2024/1/31,*******************************,19743,2269,115
2024/1/31,*****************************************,773,127,164
